epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39933,0.74707,0.61851,0.80464,0.88277,0.87065,0.88858,0.59775,1.05923,0.60759,0.97095,0.000405093,0.000405093,0.000405093
2,14.5577,0.72734,0.69336,0.85724,0.90572,0.87689,0.89691,0.58758,1.08639,0.63763,0.97832,0.000813624,0.000813624,0.000813624
3,20.642,0.76023,0.54013,0.87093,0.90752,0.87065,0.89624,0.58709,1.09384,0.64899,0.98157,0.00121391,0.00121391,0.00121391
4,25.9808,0.75859,0.55529,0.87036,0.90752,0.87065,0.89624,0.58709,1.09384,0.64899,0.98157,0.00121287,0.00121287,0.00121287
