epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56408,0.70387,0.42881,0.86038,0.95255,0.85754,0.90977,0.62762,0.99642,0.50732,0.90737,8.75e-05,8.75e-05,8.75e-05
2,9.70356,0.71524,0.4337,0.83593,0.93624,0.86549,0.90774,0.6113,1.02033,0.50418,0.91063,0.000185644,0.000185644,0.000185644
3,12.2104,0.81308,0.5023,0.87709,0.93313,0.85278,0.90034,0.61289,1.03292,0.49905,0.92032,0.000281807,0.000281807,0.000281807
4,14.6023,0.75862,0.43985,0.84164,0.92634,0.84215,0.90267,0.60843,1.01831,0.51748,0.91861,0.000375991,0.000375991,0.000375991
5,16.9708,0.75604,0.46013,0.83943,0.95213,0.83473,0.89472,0.60127,1.01994,0.51906,0.91073,0.000468195,0.000468195,0.000468195
6,19.3183,0.81969,0.48089,0.85057,0.94093,0.83519,0.8927,0.58122,1.05076,0.55178,0.90865,0.000558419,0.000558419,0.000558419
7,21.6969,0.83767,0.51556,0.85997,0.90891,0.85422,0.89551,0.58654,1.07341,0.55574,0.92525,0.000646662,0.000646662,0.000646662
8,24.1018,0.75994,1.08178,0.77462,0.93739,0.81589,0.88439,0.58397,1.08128,0.57972,0.92991,0.000732926,0.000732926,0.000732926
9,26.4936,0.80399,0.4724,0.86251,0.93058,0.82347,0.89146,0.58697,1.07904,0.57716,0.92804,0.00081721,0.00081721,0.00081721
10,28.8104,0.93754,0.54421,0.86345,0.93058,0.82347,0.89146,0.58697,1.07904,0.57716,0.92804,0.000899514,0.000899514,0.000899514
11,31.2471,0.9195,0.58257,0.9242,0.85656,0.8378,0.88142,0.57622,1.07576,0.60671,0.92796,0.000979838,0.000979838,0.000979838
12,33.6437,0.76257,0.9205,0.79895,0.90769,0.80969,0.86899,0.56208,1.08743,0.59114,0.9347,0.00105818,0.00105818,0.00105818
13,36.0272,0.91403,0.56549,0.86612,0.90769,0.80969,0.86899,0.56208,1.08743,0.59114,0.9347,0.0011015,0.0011015,0.0011015
14,38.4272,0.83946,0.51025,0.88154,0.90091,0.81933,0.87371,0.56037,1.07368,0.58384,0.92706,0.00108913,0.00108913,0.00108913
15,40.8058,0.93778,0.63796,0.92989,0.87756,0.83308,0.87257,0.58066,1.08426,0.58459,0.93353,0.00107675,0.00107675,0.00107675
16,43.0768,0.84007,0.53142,0.88051,0.87756,0.83308,0.87257,0.58066,1.08426,0.58459,0.93353,0.00106437,0.00106437,0.00106437
17,45.4944,0.94921,0.61573,0.8748,0.88686,0.78481,0.8675,0.56612,1.12071,0.7101,0.94228,0.001052,0.001052,0.001052
18,47.7812,0.73044,1.49061,0.75912,0.88686,0.78481,0.8675,0.56612,1.12071,0.7101,0.94228,0.00103962,0.00103962,0.00103962
19,50.174,0.90497,0.59829,0.89938,0.88117,0.79397,0.86449,0.56318,1.10295,0.72437,0.93286,0.00102725,0.00102725,0.00102725
20,52.573,0.89434,0.58494,0.89118,0.89272,0.84109,0.88154,0.57843,1.09276,0.63067,0.93262,0.00101488,0.00101488,0.00101488
21,54.8748,0.86757,0.52825,0.87941,0.89272,0.84109,0.88154,0.57843,1.09276,0.63067,0.93262,0.0010025,0.0010025,0.0010025
22,57.2273,0.86488,0.51651,0.86849,0.91,0.88566,0.89711,0.56678,1.15826,0.60848,0.96389,0.000990125,0.000990125,0.000990125
23,59.6323,0.92396,0.75611,0.99908,0.90123,0.86048,0.90496,0.57714,1.12726,0.59188,0.96047,0.00097775,0.00097775,0.00097775
24,62.0618,0.88219,0.51048,0.85941,0.90123,0.86048,0.90496,0.57714,1.12726,0.59188,0.96047,0.000965375,0.000965375,0.000965375
25,64.4605,0.84236,0.50456,0.86869,0.91967,0.83542,0.89537,0.58237,1.09432,0.55461,0.96578,0.000953,0.000953,0.000953
26,66.7781,0.83166,0.52112,0.88587,0.91967,0.83542,0.89537,0.58237,1.09432,0.55461,0.96578,0.000940625,0.000940625,0.000940625
27,69.1566,0.81838,0.49833,0.87677,0.88843,0.84825,0.88267,0.57495,1.08067,0.59036,0.95731,0.00092825,0.00092825,0.00092825
28,71.5523,0.89057,0.51467,0.87188,0.90198,0.84104,0.87145,0.56557,1.07975,0.62935,0.94287,0.000915875,0.000915875,0.000915875
29,73.8798,0.77729,0.44882,0.84671,0.90198,0.84104,0.87145,0.56557,1.07975,0.62935,0.94287,0.0009035,0.0009035,0.0009035
30,76.22,0.83615,0.49229,0.84437,0.92396,0.85283,0.89572,0.58946,1.04119,0.55654,0.92438,0.000891125,0.000891125,0.000891125
31,78.5992,0.81978,0.47137,0.8387,0.92396,0.85283,0.89572,0.58946,1.04119,0.55654,0.92438,0.00087875,0.00087875,0.00087875
32,80.9908,0.78738,0.4691,0.84895,0.93337,0.84766,0.90261,0.60181,1.02318,0.57291,0.92036,0.000866375,0.000866375,0.000866375
33,83.4334,0.84396,0.47824,0.85722,0.90422,0.85328,0.90338,0.61724,1.01732,0.5735,0.91887,0.000854,0.000854,0.000854
34,85.8791,0.97469,0.57688,1.06946,0.90422,0.85328,0.90338,0.61724,1.01732,0.5735,0.91887,0.000841625,0.000841625,0.000841625
35,88.2529,0.81109,0.45981,0.84743,0.88696,0.83921,0.89836,0.60496,1.02773,0.56036,0.91031,0.00082925,0.00082925,0.00082925
36,90.7425,0.7765,0.46609,0.83251,0.86012,0.84883,0.88863,0.60324,1.01942,0.57221,0.90789,0.000816875,0.000816875,0.000816875
37,93.1221,0.75846,0.44059,0.83618,0.86012,0.84883,0.88863,0.60324,1.01942,0.57221,0.90789,0.0008045,0.0008045,0.0008045
38,95.5479,0.78155,0.46416,0.85176,0.86995,0.83733,0.89181,0.6017,1.00282,0.57092,0.90002,0.000792125,0.000792125,0.000792125
39,97.8764,0.79657,0.46154,0.8521,0.86995,0.83733,0.89181,0.6017,1.00282,0.57092,0.90002,0.00077975,0.00077975,0.00077975
40,100.34,0.77666,0.4501,0.83884,0.92982,0.81435,0.89234,0.61164,1.01857,0.55517,0.90687,0.000767375,0.000767375,0.000767375
41,102.768,0.7927,0.45704,0.84553,0.90833,0.86597,0.89272,0.60679,1.03953,0.54504,0.91687,0.000755,0.000755,0.000755
42,105.252,0.79198,0.45338,0.8271,0.90833,0.86597,0.89272,0.60679,1.03953,0.54504,0.91687,0.000742625,0.000742625,0.000742625
43,107.809,0.75353,0.4329,0.84766,0.92166,0.85608,0.89137,0.59913,1.01994,0.54813,0.91946,0.00073025,0.00073025,0.00073025
44,110.21,0.73548,0.42731,0.83657,0.92166,0.85608,0.89137,0.59913,1.01994,0.54813,0.91946,0.000717875,0.000717875,0.000717875
45,112.624,0.73963,0.41698,0.85588,0.90715,0.85069,0.88556,0.60413,1.01331,0.53919,0.92513,0.0007055,0.0007055,0.0007055
46,115.043,0.76302,0.42612,0.8323,0.88952,0.82787,0.87913,0.59874,1.03161,0.53619,0.93186,0.000693125,0.000693125,0.000693125
47,117.446,0.74281,0.43495,0.84099,0.88952,0.82787,0.87913,0.59874,1.03161,0.53619,0.93186,0.00068075,0.00068075,0.00068075
48,119.83,0.7526,0.42866,0.82436,0.91024,0.81134,0.8898,0.60801,1.05533,0.5477,0.95062,0.000668375,0.000668375,0.000668375
49,122.228,0.75107,0.42555,0.83362,0.93597,0.7827,0.89296,0.60891,1.06579,0.53373,0.95604,0.000656,0.000656,0.000656
50,124.623,0.69102,0.43966,0.84054,0.93597,0.7827,0.89296,0.60891,1.06579,0.53373,0.95604,0.000643625,0.000643625,0.000643625
51,127.056,0.69337,0.39284,0.82457,0.92778,0.80252,0.90117,0.61776,1.06105,0.52729,0.9583,0.00063125,0.00063125,0.00063125
52,129.513,0.70633,0.42328,0.81224,0.92778,0.80252,0.90117,0.61776,1.06105,0.52729,0.9583,0.000618875,0.000618875,0.000618875
53,131.89,0.62389,0.46073,0.72198,0.92722,0.81318,0.89745,0.6238,1.04792,0.52618,0.94223,0.0006065,0.0006065,0.0006065
54,134.243,0.60672,0.42718,0.74695,0.89563,0.85061,0.90362,0.62531,1.05545,0.52303,0.94421,0.000594125,0.000594125,0.000594125
55,136.677,0.71989,0.40298,0.81433,0.89563,0.85061,0.90362,0.62531,1.05545,0.52303,0.94421,0.00058175,0.00058175,0.00058175
56,139.15,0.66467,0.3891,0.8193,0.929,0.83721,0.90829,0.61961,1.04746,0.51845,0.9326,0.000569375,0.000569375,0.000569375
