epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.3363,0.77973,0.5811,0.75017,0.91446,0.85399,0.90727,0.62587,1.09935,0.68759,0.79754,8.75e-05,8.75e-05,8.75e-05
2,9.3196,0.81552,0.57534,0.7548,0.93699,0.85974,0.91146,0.63645,1.14004,0.65519,0.81131,0.000185645,0.000185645,0.000185645
3,11.8065,0.86879,0.60422,0.76586,0.90945,0.86513,0.90366,0.61408,1.12743,0.68948,0.8147,0.000281811,0.000281811,0.000281811
4,14.1784,0.87717,0.61858,0.7636,0.93211,0.83549,0.88425,0.58173,1.1656,0.73101,0.82104,0.000375998,0.000375998,0.000375998
5,16.5894,0.83168,0.59357,0.74267,0.9339,0.84003,0.88389,0.58971,1.17042,0.71704,0.82063,0.000468207,0.000468207,0.000468207
6,18.9754,0.89919,0.63737,0.7524,0.93452,0.82984,0.89962,0.61379,1.14938,0.72196,0.81297,0.000558437,0.000558437,0.000558437
7,21.3641,0.87108,0.61005,0.76207,0.91297,0.83492,0.89415,0.58592,1.16825,0.75693,0.81876,0.000646688,0.000646688,0.000646688
8,23.703,0.79866,1.13152,0.66927,0.95218,0.8188,0.89829,0.5925,1.20069,0.75236,0.83575,0.00073296,0.00073296,0.00073296
9,26.076,0.84058,0.60104,0.75577,0.93193,0.83559,0.89926,0.59883,1.18486,0.74117,0.83328,0.000817254,0.000817254,0.000817254
10,28.4198,1.02325,0.69575,0.7712,0.93193,0.83559,0.89926,0.59883,1.18486,0.74117,0.83328,0.000899569,0.000899569,0.000899569
11,30.8452,0.95757,0.69549,0.79252,0.93489,0.80634,0.89657,0.56002,1.22998,0.75696,0.85394,0.000979905,0.000979905,0.000979905
12,33.2434,0.85667,1.43023,0.69792,0.90928,0.82225,0.88459,0.55312,1.20688,0.76957,0.84594,0.00105826,0.00105826,0.00105826
13,35.597,1.04168,0.71874,0.78245,0.90928,0.82225,0.88459,0.55312,1.20688,0.76957,0.84594,0.00110159,0.00110159,0.00110159
14,37.9965,0.96521,0.69215,0.80094,0.87501,0.85974,0.8827,0.56006,1.20791,0.77427,0.84482,0.00108923,0.00108923,0.00108923
15,40.4852,1.01278,0.74593,0.80876,0.9431,0.82469,0.88492,0.58144,1.18483,0.78184,0.83386,0.00107686,0.00107686,0.00107686
16,42.9132,0.96464,0.67856,0.78072,0.9431,0.82469,0.88492,0.58144,1.18483,0.78184,0.83386,0.00106449,0.00106449,0.00106449
17,45.3957,1.06633,0.71056,0.78555,0.92315,0.8185,0.88828,0.57051,1.2272,0.74942,0.83243,0.00105212,0.00105212,0.00105212
18,47.7653,0.84248,1.33919,0.67567,0.92315,0.8185,0.88828,0.57051,1.2272,0.74942,0.83243,0.00103976,0.00103976,0.00103976
19,50.1473,0.98359,0.68487,0.79052,0.92106,0.82151,0.87974,0.56568,1.23757,0.77186,0.8356,0.00102739,0.00102739,0.00102739
20,52.5822,0.94567,0.69617,0.77111,0.90549,0.83137,0.8939,0.59068,1.18664,0.75017,0.82671,0.00101502,0.00101502,0.00101502
21,54.9206,0.89443,0.64882,0.75979,0.90549,0.83137,0.8939,0.59068,1.18664,0.75017,0.82671,0.00100266,0.00100266,0.00100266
22,57.3075,0.89214,0.6428,0.74799,0.91324,0.80761,0.88296,0.59728,1.16478,0.72975,0.81742,0.000990288,0.000990288,0.000990288
23,59.8972,0.93102,0.68234,0.80356,0.88923,0.86391,0.90325,0.59302,1.15268,0.72975,0.82257,0.000977921,0.000977921,0.000977921
24,62.2754,0.97524,0.67765,0.76099,0.88923,0.86391,0.90325,0.59302,1.15268,0.72975,0.82257,0.000965553,0.000965553,0.000965553
25,64.7737,0.91454,0.65802,0.7741,0.93391,0.80096,0.89674,0.60223,1.12431,0.72516,0.80934,0.000953186,0.000953186,0.000953186
26,67.1207,0.88968,0.64312,0.77577,0.93391,0.80096,0.89674,0.60223,1.12431,0.72516,0.80934,0.000940819,0.000940819,0.000940819
27,69.6312,0.86302,0.62825,0.78185,0.95665,0.78445,0.89678,0.60438,1.12444,0.71855,0.79716,0.000928452,0.000928452,0.000928452
28,72.132,0.93249,0.63239,0.75945,0.90635,0.82141,0.89764,0.59502,1.14942,0.73601,0.80022,0.000916084,0.000916084,0.000916084
29,74.5777,0.8417,0.56463,0.7529,0.90635,0.82141,0.89764,0.59502,1.14942,0.73601,0.80022,0.000903717,0.000903717,0.000903717
30,76.9383,0.93346,0.63251,0.75834,0.93476,0.84766,0.90101,0.59127,1.15718,0.71746,0.79624,0.00089135,0.00089135,0.00089135
31,79.286,0.91502,0.59959,0.75047,0.93476,0.84766,0.90101,0.59127,1.15718,0.71746,0.79624,0.000878983,0.000878983,0.000878983
32,81.6678,0.84198,0.57398,0.76093,0.93297,0.84708,0.90398,0.59335,1.14198,0.71777,0.78994,0.000866615,0.000866615,0.000866615
33,84.0548,0.91365,0.6232,0.75813,0.91845,0.84075,0.89732,0.61089,1.14922,0.74013,0.80884,0.000854248,0.000854248,0.000854248
34,86.5941,0.8176,0.5966,0.75066,0.91845,0.84075,0.89732,0.61089,1.14922,0.74013,0.80884,0.000841881,0.000841881,0.000841881
35,89.0499,0.9081,0.63214,0.75047,0.94293,0.85251,0.90925,0.61196,1.12279,0.68988,0.79284,0.000829513,0.000829513,0.000829513
36,91.6166,0.87071,0.59896,0.75968,0.93859,0.87503,0.91006,0.6207,1.13379,0.67968,0.79302,0.000817146,0.000817146,0.000817146
37,94.1084,0.79153,0.54575,0.71808,0.93859,0.87503,0.91006,0.6207,1.13379,0.67968,0.79302,0.000804779,0.000804779,0.000804779
38,96.581,0.85652,0.58877,0.7548,0.95147,0.82584,0.90812,0.6199,1.14967,0.68815,0.79878,0.000792412,0.000792412,0.000792412
39,98.9019,0.8683,0.59737,0.74103,0.95147,0.82584,0.90812,0.6199,1.14967,0.68815,0.79878,0.000780045,0.000780045,0.000780045
40,101.308,0.80705,0.541,0.74186,0.92216,0.84718,0.90081,0.61494,1.11414,0.68403,0.79437,0.000767677,0.000767677,0.000767677
41,103.723,0.81439,0.5549,0.73702,0.92851,0.85458,0.89034,0.59893,1.11407,0.70283,0.79234,0.00075531,0.00075531,0.00075531
42,106.152,0.8223,0.55773,0.72902,0.92851,0.85458,0.89034,0.59893,1.11407,0.70283,0.79234,0.000742943,0.000742943,0.000742943
43,108.6,0.78585,0.55527,0.7295,0.92092,0.87048,0.89208,0.59687,1.10639,0.70886,0.80161,0.000730576,0.000730576,0.000730576
44,110.963,0.79419,0.54053,0.73708,0.92092,0.87048,0.89208,0.59687,1.10639,0.70886,0.80161,0.000718208,0.000718208,0.000718208
45,113.353,0.80261,0.53928,0.76392,0.9351,0.83617,0.89996,0.61079,1.10997,0.69872,0.80385,0.000705841,0.000705841,0.000705841
46,115.827,0.79723,0.55001,0.74365,0.93559,0.83675,0.90327,0.61379,1.10825,0.67303,0.79905,0.000693474,0.000693474,0.000693474
47,118.198,0.79049,0.56345,0.74765,0.93559,0.83675,0.90327,0.61379,1.10825,0.67303,0.79905,0.000681107,0.000681107,0.000681107
48,120.691,0.85192,0.57173,0.73734,0.93498,0.82825,0.901,0.61184,1.13965,0.6822,0.80753,0.000668739,0.000668739,0.000668739
49,123.183,0.78098,0.52786,0.73255,0.92004,0.85527,0.9097,0.60274,1.13172,0.67739,0.80664,0.000656372,0.000656372,0.000656372
50,125.537,0.75022,0.52564,0.73125,0.92004,0.85527,0.9097,0.60274,1.13172,0.67739,0.80664,0.000644005,0.000644005,0.000644005
51,127.906,0.75202,0.52356,0.73227,0.92643,0.86975,0.90931,0.6032,1.13094,0.65787,0.81044,0.000631638,0.000631638,0.000631638
52,130.287,0.77391,0.53973,0.73088,0.92643,0.86975,0.90931,0.6032,1.13094,0.65787,0.81044,0.00061927,0.00061927,0.00061927
53,132.749,0.64935,0.70474,0.63821,0.91711,0.89206,0.91063,0.61614,1.1231,0.64984,0.81009,0.000606903,0.000606903,0.000606903
54,135.119,0.64154,0.49359,0.64833,0.95071,0.86518,0.90426,0.6185,1.13322,0.66074,0.80548,0.000594536,0.000594536,0.000594536
55,137.437,0.78135,0.52228,0.72461,0.95071,0.86518,0.90426,0.6185,1.13322,0.66074,0.80548,0.000582169,0.000582169,0.000582169
56,139.846,0.73195,0.51391,0.72019,0.94731,0.87424,0.90837,0.63264,1.11018,0.66145,0.80383,0.000569801,0.000569801,0.000569801
57,142.163,0.6824,0.51001,0.73068,0.94731,0.87424,0.90837,0.63264,1.11018,0.66145,0.80383,0.000557434,0.000557434,0.000557434
58,144.599,0.70617,0.52227,0.73801,0.93273,0.86669,0.90277,0.63318,1.1127,0.64619,0.81085,0.000545067,0.000545067,0.000545067
59,147.18,0.75534,0.52193,0.72937,0.95176,0.86247,0.90634,0.62265,1.12469,0.64324,0.82103,0.0005327,0.0005327,0.0005327
60,149.735,0.76313,0.50739,0.71956,0.95176,0.86247,0.90634,0.62265,1.12469,0.64324,0.82103,0.000520332,0.000520332,0.000520332
61,152.13,0.75207,0.53407,0.72972,0.95971,0.86482,0.91513,0.63113,1.13711,0.64142,0.82744,0.000507965,0.000507965,0.000507965
62,154.488,0.69647,0.46707,0.71688,0.94453,0.86387,0.91666,0.63657,1.11935,0.62725,0.82739,0.000495598,0.000495598,0.000495598
63,156.84,0.69916,0.48023,0.72524,0.94453,0.86387,0.91666,0.63657,1.11935,0.62725,0.82739,0.000483231,0.000483231,0.000483231
64,159.332,0.68037,0.48115,0.71416,0.93728,0.86482,0.91138,0.626,1.11457,0.63249,0.82602,0.000470863,0.000470863,0.000470863
65,161.697,0.66699,0.4746,0.7223,0.93728,0.86482,0.91138,0.626,1.11457,0.63249,0.82602,0.000458496,0.000458496,0.000458496
66,164.15,0.71479,0.48672,0.73315,0.95089,0.85974,0.90854,0.63013,1.09959,0.65044,0.81961,0.000446129,0.000446129,0.000446129
67,166.538,0.65069,0.45235,0.71984,0.94597,0.85875,0.90715,0.62986,1.08705,0.65449,0.81453,0.000433762,0.000433762,0.000433762
68,168.909,0.70603,0.50312,0.73176,0.94597,0.85875,0.90715,0.62986,1.08705,0.65449,0.81453,0.000421394,0.000421394,0.000421394
69,171.423,0.7427,0.50672,0.73016,0.91022,0.86184,0.91248,0.62585,1.10573,0.66958,0.81899,0.000409027,0.000409027,0.000409027
70,173.792,0.7276,0.51257,0.76155,0.91022,0.86184,0.91248,0.62585,1.10573,0.66958,0.81899,0.00039666,0.00039666,0.00039666
71,176.281,0.72376,0.49464,0.72839,0.89746,0.86666,0.9078,0.62517,1.1149,0.66341,0.82464,0.000384293,0.000384293,0.000384293
