epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76944,0.66719,0.45126,0.86926,0.91096,0.86774,0.90905,0.62663,0.98542,0.56666,0.93563,8.75e-05,8.75e-05,8.75e-05
2,10.3955,0.73203,0.47201,0.88519,0.94348,0.84571,0.90522,0.61818,1.00679,0.54458,0.93566,0.000185644,0.000185644,0.000185644
3,12.9431,0.82494,0.5329,0.94249,0.94043,0.83113,0.89971,0.61809,0.99352,0.56291,0.93172,0.000281807,0.000281807,0.000281807
4,15.5493,0.7729,0.49589,0.88131,0.93214,0.8153,0.89096,0.605,1.02709,0.59349,0.94893,0.000375991,0.000375991,0.000375991
5,18.0069,0.74602,0.48042,0.85988,0.94696,0.81884,0.8767,0.59642,1.04288,0.59549,0.95164,0.000468195,0.000468195,0.000468195
6,20.4646,0.83995,0.53542,0.8879,0.94782,0.83501,0.88745,0.57421,1.08677,0.58214,0.95745,0.000558419,0.000558419,0.000558419
7,22.8948,0.79627,0.5061,0.88745,0.93796,0.83404,0.88479,0.57916,1.07426,0.57097,0.95254,0.000646662,0.000646662,0.000646662
8,25.3024,0.77256,0.72925,0.81978,0.95195,0.81318,0.88491,0.59588,1.06006,0.59055,0.94828,0.000732926,0.000732926,0.000732926
9,27.7284,0.78536,0.49029,0.91822,0.95031,0.81318,0.88952,0.59855,1.06219,0.58697,0.94802,0.00081721,0.00081721,0.00081721
10,30.119,0.97469,0.58238,0.90181,0.95031,0.81318,0.88952,0.59855,1.06219,0.58697,0.94802,0.000899514,0.000899514,0.000899514
11,32.5808,0.86554,0.59245,0.94436,0.91755,0.85043,0.89486,0.5832,1.08919,0.62084,0.96021,0.000979838,0.000979838,0.000979838
12,34.9632,0.74915,0.85865,0.82951,0.91011,0.81399,0.88465,0.52613,1.15041,0.64816,0.96889,0.00105818,0.00105818,0.00105818
13,37.3342,0.98257,0.65298,0.9225,0.91011,0.81399,0.88465,0.52613,1.15041,0.64816,0.96889,0.0011015,0.0011015,0.0011015
14,39.7467,0.8953,0.6021,0.9361,0.92259,0.80721,0.88147,0.52784,1.15493,0.65286,0.9717,0.00108913,0.00108913,0.00108913
15,42.2658,0.9455,0.67229,0.92496,0.90276,0.79934,0.87339,0.53986,1.12207,0.64996,0.97615,0.00107675,0.00107675,0.00107675
16,44.5711,0.84155,0.5892,0.90266,0.90276,0.79934,0.87339,0.53986,1.12207,0.64996,0.97615,0.00106437,0.00106437,0.00106437
17,46.9517,0.91668,0.64814,0.9204,0.90116,0.80034,0.88194,0.55711,1.11847,0.6478,0.98857,0.001052,0.001052,0.001052
18,49.2812,0.74302,0.94363,0.77695,0.90116,0.80034,0.88194,0.55711,1.11847,0.6478,0.98857,0.00103962,0.00103962,0.00103962
19,51.675,0.8957,0.60792,0.94877,0.93636,0.79921,0.88497,0.54935,1.10431,0.64122,0.98842,0.00102725,0.00102725,0.00102725
20,54.1547,0.88028,0.61511,0.91299,0.92723,0.81718,0.88481,0.56471,1.06878,0.66233,0.96747,0.00101488,0.00101488,0.00101488
21,56.5203,0.81215,0.51354,0.89732,0.92723,0.81718,0.88481,0.56471,1.06878,0.66233,0.96747,0.0010025,0.0010025,0.0010025
22,58.9025,0.81466,0.53699,0.90316,0.87595,0.82359,0.87439,0.548,1.1169,0.65966,0.98189,0.000990125,0.000990125,0.000990125
23,61.3245,0.89042,0.66441,0.96099,0.91984,0.81283,0.89219,0.5574,1.11677,0.60042,0.98188,0.00097775,0.00097775,0.00097775
24,63.7191,0.86475,0.5624,0.8912,0.91984,0.81283,0.89219,0.5574,1.11677,0.60042,0.98188,0.000965375,0.000965375,0.000965375
25,66.1036,0.8325,0.54315,0.90492,0.92532,0.83617,0.90417,0.57039,1.11071,0.59867,0.98263,0.000953,0.000953,0.000953
26,68.4845,0.82605,0.53231,0.9114,0.92532,0.83617,0.90417,0.57039,1.11071,0.59867,0.98263,0.000940625,0.000940625,0.000940625
27,70.8129,0.80512,0.53594,0.91821,0.87569,0.82984,0.8951,0.57605,1.07996,0.59894,0.9566,0.00092825,0.00092825,0.00092825
28,73.1241,0.89913,0.5515,0.89094,0.88225,0.84367,0.89749,0.57254,1.05074,0.60567,0.94528,0.000915875,0.000915875,0.000915875
29,75.4242,0.78651,0.49967,0.89931,0.88225,0.84367,0.89749,0.57254,1.05074,0.60567,0.94528,0.0009035,0.0009035,0.0009035
30,77.7927,0.79813,0.52037,0.87574,0.94625,0.82147,0.90615,0.59337,1.02307,0.59504,0.93211,0.000891125,0.000891125,0.000891125
31,80.0924,0.79469,0.51419,0.88488,0.94625,0.82147,0.90615,0.59337,1.02307,0.59504,0.93211,0.00087875,0.00087875,0.00087875
32,82.5137,0.78929,0.49298,0.89266,0.95114,0.8166,0.89207,0.60454,1.03052,0.59613,0.93315,0.000866375,0.000866375,0.000866375
33,84.9915,0.81605,0.50446,0.87269,0.94742,0.82984,0.89915,0.61127,1.02231,0.59387,0.93506,0.000854,0.000854,0.000854
34,87.4455,0.80562,0.57417,0.91497,0.94742,0.82984,0.89915,0.61127,1.02231,0.59387,0.93506,0.000841625,0.000841625,0.000841625
35,89.9161,0.833,0.48338,0.89514,0.9471,0.82429,0.88819,0.58503,1.03642,0.5838,0.93584,0.00082925,0.00082925,0.00082925
36,92.4178,0.79451,0.48558,0.88088,0.91095,0.86216,0.89789,0.58732,1.04826,0.58651,0.94897,0.000816875,0.000816875,0.000816875
37,94.789,0.73317,0.44781,0.85162,0.91095,0.86216,0.89789,0.58732,1.04826,0.58651,0.94897,0.0008045,0.0008045,0.0008045
38,97.1588,0.78872,0.48023,0.87971,0.94584,0.81849,0.89437,0.60013,1.06303,0.59677,0.96978,0.000792125,0.000792125,0.000792125
39,99.5242,0.80663,0.50134,0.89116,0.94584,0.81849,0.89437,0.60013,1.06303,0.59677,0.96978,0.00077975,0.00077975,0.00077975
40,101.977,0.75107,0.4723,0.8858,0.89865,0.87124,0.89244,0.60034,1.06034,0.58791,0.97564,0.000767375,0.000767375,0.000767375
41,104.61,0.79206,0.48689,0.89193,0.9092,0.83669,0.8889,0.58747,1.06192,0.58028,0.97385,0.000755,0.000755,0.000755
42,106.999,0.81531,0.47158,0.87444,0.9092,0.83669,0.8889,0.58747,1.06192,0.58028,0.97385,0.000742625,0.000742625,0.000742625
43,109.44,0.72855,0.44393,0.87024,0.92686,0.81718,0.88901,0.58826,1.05487,0.5767,0.97083,0.00073025,0.00073025,0.00073025
44,111.799,0.72975,0.46263,0.87559,0.92686,0.81718,0.88901,0.58826,1.05487,0.5767,0.97083,0.000717875,0.000717875,0.000717875
45,114.173,0.72752,0.44289,0.89125,0.93725,0.82134,0.88977,0.60065,1.04609,0.56839,0.96842,0.0007055,0.0007055,0.0007055
46,116.582,0.73238,0.45728,0.86411,0.94562,0.83066,0.90179,0.60759,1.02543,0.56608,0.95139,0.000693125,0.000693125,0.000693125
47,118.948,0.701,0.45261,0.87951,0.94562,0.83066,0.90179,0.60759,1.02543,0.56608,0.95139,0.00068075,0.00068075,0.00068075
48,121.402,0.73887,0.45706,0.86866,0.95104,0.84134,0.90593,0.61203,1.02741,0.54337,0.94753,0.000668375,0.000668375,0.000668375
49,123.778,0.71735,0.44215,0.85983,0.92597,0.84825,0.90361,0.6265,1.00683,0.54247,0.93778,0.000656,0.000656,0.000656
50,126.168,0.69347,0.45669,0.88465,0.92597,0.84825,0.90361,0.6265,1.00683,0.54247,0.93778,0.000643625,0.000643625,0.000643625
51,128.523,0.67717,0.42073,0.85751,0.9415,0.84136,0.90479,0.63098,0.99457,0.55542,0.93524,0.00063125,0.00063125,0.00063125
52,130.907,0.69462,0.43426,0.85492,0.9415,0.84136,0.90479,0.63098,0.99457,0.55542,0.93524,0.000618875,0.000618875,0.000618875
53,133.469,0.62606,0.43138,0.75187,0.89516,0.87373,0.90894,0.62734,0.99735,0.559,0.93474,0.0006065,0.0006065,0.0006065
54,135.777,0.58603,0.4167,0.77132,0.92922,0.87646,0.91465,0.62423,0.99317,0.55228,0.92987,0.000594125,0.000594125,0.000594125
55,138.125,0.68316,0.41357,0.84096,0.92922,0.87646,0.91465,0.62423,0.99317,0.55228,0.92987,0.00058175,0.00058175,0.00058175
56,140.52,0.66803,0.40741,0.85171,0.91933,0.86491,0.91168,0.62624,1.00533,0.5409,0.92993,0.000569375,0.000569375,0.000569375
57,142.922,0.63755,0.3893,0.8329,0.91933,0.86491,0.91168,0.62624,1.00533,0.5409,0.92993,0.000557,0.000557,0.000557
58,145.37,0.64092,0.42931,0.86436,0.92732,0.86476,0.91699,0.62758,1.01589,0.54134,0.93356,0.000544625,0.000544625,0.000544625
59,147.829,0.68562,0.42667,0.85482,0.91991,0.87698,0.91794,0.63009,1.00867,0.53545,0.93901,0.00053225,0.00053225,0.00053225
60,150.289,0.70209,0.40994,0.84998,0.91991,0.87698,0.91794,0.63009,1.00867,0.53545,0.93901,0.000519875,0.000519875,0.000519875
61,152.699,0.67716,0.44127,0.87103,0.92551,0.85741,0.91753,0.6299,1.00819,0.53876,0.94415,0.0005075,0.0005075,0.0005075
62,155.129,0.64444,0.39325,0.83697,0.90004,0.86494,0.91049,0.62439,1.0081,0.55095,0.94315,0.000495125,0.000495125,0.000495125
63,157.477,0.60628,0.38251,0.81474,0.90004,0.86494,0.91049,0.62439,1.0081,0.55095,0.94315,0.00048275,0.00048275,0.00048275
64,159.816,0.63778,0.39001,0.84074,0.9193,0.85762,0.90915,0.61511,1.0157,0.55567,0.94666,0.000470375,0.000470375,0.000470375
65,162.136,0.61396,0.38055,0.83792,0.9193,0.85762,0.90915,0.61511,1.0157,0.55567,0.94666,0.000458,0.000458,0.000458
66,164.458,0.65899,0.4059,0.83176,0.92782,0.85916,0.91015,0.6199,0.99567,0.54177,0.94623,0.000445625,0.000445625,0.000445625
67,166.878,0.60459,0.38117,0.83503,0.93292,0.86399,0.91954,0.6253,0.98361,0.51859,0.94917,0.00043325,0.00043325,0.00043325
68,169.229,0.67761,0.45115,0.87648,0.93292,0.86399,0.91954,0.6253,0.98361,0.51859,0.94917,0.000420875,0.000420875,0.000420875
69,171.641,0.6661,0.40373,0.83563,0.93116,0.8669,0.92245,0.63797,0.98042,0.52655,0.94275,0.0004085,0.0004085,0.0004085
70,174.036,0.67449,0.42985,0.90655,0.93116,0.8669,0.92245,0.63797,0.98042,0.52655,0.94275,0.000396125,0.000396125,0.000396125
71,176.526,0.64259,0.3897,0.83379,0.93797,0.82351,0.90738,0.6358,1.00222,0.53877,0.9505,0.00038375,0.00038375,0.00038375
72,178.922,0.87493,0.44602,1.16656,0.94537,0.82755,0.90572,0.62936,1.0114,0.54551,0.95212,0.000371375,0.000371375,0.000371375
73,181.276,0.62617,0.37873,0.84483,0.94537,0.82755,0.90572,0.62936,1.0114,0.54551,0.95212,0.000359,0.000359,0.000359
74,183.74,0.58076,0.36474,0.8313,0.94545,0.84591,0.90917,0.62923,1.00058,0.54159,0.94643,0.000346625,0.000346625,0.000346625
75,186.155,0.65433,0.39777,0.85549,0.93567,0.84055,0.90372,0.62618,0.99933,0.54212,0.94645,0.00033425,0.00033425,0.00033425
76,188.57,0.63623,0.39407,0.84776,0.93567,0.84055,0.90372,0.62618,0.99933,0.54212,0.94645,0.000321875,0.000321875,0.000321875
77,190.985,0.60979,0.38397,0.84786,0.93892,0.84022,0.90429,0.63003,1.00103,0.54123,0.95011,0.0003095,0.0003095,0.0003095
78,193.439,0.60364,0.39421,0.86547,0.93892,0.84022,0.90429,0.63003,1.00103,0.54123,0.95011,0.000297125,0.000297125,0.000297125
79,195.82,0.62104,0.38208,0.8379,0.94547,0.85214,0.90894,0.63733,0.99748,0.53616,0.95006,0.00028475,0.00028475,0.00028475
80,198.222,0.59838,0.38305,0.84904,0.9411,0.85363,0.91392,0.6364,1.00456,0.53589,0.95284,0.000272375,0.000272375,0.000272375
81,200.72,0.62507,0.37654,0.83923,0.9411,0.85363,0.91392,0.6364,1.00456,0.53589,0.95284,0.00026,0.00026,0.00026
82,203.197,0.59007,0.38092,0.84879,0.93355,0.85111,0.91405,0.63676,1.01219,0.53915,0.95706,0.000247625,0.000247625,0.000247625
83,205.666,0.5732,0.36907,0.82648,0.93355,0.85111,0.91405,0.63676,1.01219,0.53915,0.95706,0.00023525,0.00023525,0.00023525
84,208.232,0.51075,0.43865,0.72538,0.93645,0.85171,0.91106,0.63139,1.00775,0.53773,0.95367,0.000222875,0.000222875,0.000222875
85,210.706,0.60522,0.3682,0.84101,0.91913,0.85916,0.92506,0.63815,1.00714,0.53542,0.95514,0.0002105,0.0002105,0.0002105
86,213.213,0.61446,0.36749,0.82966,0.91913,0.85916,0.92506,0.63815,1.00714,0.53542,0.95514,0.000198125,0.000198125,0.000198125
87,215.851,0.59691,0.37216,0.85668,0.94728,0.84304,0.91844,0.64133,0.9955,0.53479,0.95216,0.00018575,0.00018575,0.00018575
88,218.548,0.59334,0.37664,0.83758,0.95054,0.84549,0.91,0.6367,0.99061,0.54039,0.95347,0.000173375,0.000173375,0.000173375
89,221.101,0.65352,0.39781,0.84143,0.95054,0.84549,0.91,0.6367,0.99061,0.54039,0.95347,0.000161,0.000161,0.000161
90,223.669,0.59944,0.36058,0.82749,0.94378,0.83927,0.91018,0.63417,0.99122,0.542,0.9558,0.000148625,0.000148625,0.000148625
91,231.68,0.5186,0.33912,0.73056,0.94378,0.83927,0.91018,0.63417,0.99122,0.542,0.9558,0.00013625,0.00013625,0.00013625
92,234.249,0.58896,0.34792,0.83183,0.94895,0.83436,0.90024,0.62482,1.00355,0.54234,0.96014,0.000123875,0.000123875,0.000123875
93,236.887,0.57132,0.35188,0.83212,0.94954,0.83396,0.89536,0.61458,1.01532,0.55093,0.96552,0.0001115,0.0001115,0.0001115
94,239.413,0.59071,0.34495,0.83451,0.94954,0.83396,0.89536,0.61458,1.01532,0.55093,0.96552,9.9125e-05,9.9125e-05,9.9125e-05
95,242.024,0.49238,0.32672,0.70113,0.90985,0.85916,0.89518,0.6169,1.01165,0.55247,0.96458,8.675e-05,8.675e-05,8.675e-05
96,244.473,0.56107,0.3442,0.81793,0.90985,0.85916,0.89518,0.6169,1.01165,0.55247,0.96458,7.4375e-05,7.4375e-05,7.4375e-05
97,246.947,0.55126,0.35147,0.82694,0.94064,0.84134,0.89833,0.61094,1.01638,0.54851,0.96703,6.2e-05,6.2e-05,6.2e-05
98,249.456,0.5752,0.34748,0.83094,0.93591,0.84134,0.89799,0.61234,1.01519,0.54477,0.9655,4.9625e-05,4.9625e-05,4.9625e-05
99,251.796,0.50005,0.34659,0.72523,0.93591,0.84134,0.89799,0.61234,1.01519,0.54477,0.9655,3.725e-05,3.725e-05,3.725e-05
100,254.313,0.58663,0.35016,0.83866,0.93657,0.84134,0.8976,0.61051,1.01986,0.55227,0.96729,2.4875e-05,2.4875e-05,2.4875e-05
