epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70999,0.77105,0.46808,0.9355,0.93006,0.86725,0.90931,0.62985,1.07826,0.56783,0.95476,8.75e-05,8.75e-05,8.75e-05
2,10.1281,0.79262,0.45538,0.90415,0.93437,0.86395,0.90948,0.62861,1.0744,0.5581,0.94775,0.000185643,0.000185643,0.000185643
3,12.7387,0.80036,0.53285,0.93145,0.95429,0.85679,0.91474,0.6204,1.09708,0.58774,0.95818,0.000281804,0.000281804,0.000281804
4,15.4153,0.85066,0.50486,0.91736,0.9134,0.85858,0.90276,0.59642,1.12557,0.60469,0.95971,0.000375984,0.000375984,0.000375984
5,17.9552,0.83525,0.5089,0.90454,0.93815,0.83377,0.88506,0.60627,1.12232,0.58022,0.96512,0.000468182,0.000468182,0.000468182
6,20.5573,0.90699,0.52899,0.89745,0.92414,0.80958,0.89983,0.58692,1.1928,0.63356,0.98387,0.000558399,0.000558399,0.000558399
7,23.0672,0.87804,0.51949,0.89782,0.94419,0.81498,0.8981,0.59326,1.17993,0.59391,0.98525,0.000646635,0.000646635,0.000646635
8,25.4909,0.72955,0.67815,0.79984,0.94403,0.81801,0.8982,0.59979,1.17029,0.591,0.9827,0.00073289,0.00073289,0.00073289
9,27.9726,0.81383,0.48313,0.8854,0.87732,0.86429,0.89909,0.59941,1.15339,0.61762,0.98373,0.000817163,0.000817163,0.000817163
10,30.533,0.93863,0.56749,0.88922,0.87732,0.86429,0.89909,0.59941,1.15339,0.61762,0.98373,0.000899455,0.000899455,0.000899455
11,33.2342,0.9143,0.57069,0.92775,0.9186,0.83217,0.89015,0.59674,1.14441,0.61906,0.98283,0.000979766,0.000979766,0.000979766
12,35.7788,0.8166,0.87445,0.80215,0.87262,0.87493,0.88564,0.58846,1.12497,0.59574,0.97756,0.0010581,0.0010581,0.0010581
13,38.3156,0.89799,0.5465,0.91676,0.87262,0.87493,0.88564,0.58846,1.12497,0.59574,0.97756,0.0011014,0.0011014,0.0011014
14,40.8318,0.86694,0.52469,0.90916,0.86233,0.87788,0.88444,0.58471,1.1296,0.59523,0.98156,0.00108902,0.00108902,0.00108902
15,43.3401,0.9223,0.6002,0.96969,0.9024,0.83733,0.88681,0.58988,1.11407,0.57607,0.97423,0.00107663,0.00107663,0.00107663
16,45.7674,0.88145,0.54108,0.91243,0.9024,0.83733,0.88681,0.58988,1.11407,0.57607,0.97423,0.00106425,0.00106425,0.00106425
17,48.2871,0.92159,0.5885,0.89451,0.92288,0.82892,0.89223,0.60061,1.12913,0.63291,0.9776,0.00105187,0.00105187,0.00105187
18,50.7416,0.92487,0.64187,0.91318,0.92288,0.82892,0.89223,0.60061,1.12913,0.63291,0.9776,0.00103948,0.00103948,0.00103948
19,53.128,0.89229,0.54748,0.88888,0.89241,0.81682,0.88778,0.59317,1.15408,0.61141,0.98443,0.0010271,0.0010271,0.0010271
20,55.5474,0.86674,0.54413,0.87684,0.887,0.84825,0.87877,0.58344,1.18838,0.62678,0.99492,0.00101472,0.00101472,0.00101472
21,57.9618,0.83978,0.56686,0.89417,0.887,0.84825,0.87877,0.58344,1.18838,0.62678,0.99492,0.00100234,0.00100234,0.00100234
22,60.4719,0.9166,0.58409,0.92876,0.86292,0.85033,0.8838,0.59914,1.20533,0.62287,1.01865,0.000989952,0.000989952,0.000989952
23,63.0537,0.90087,0.61188,0.96141,0.85617,0.82433,0.87315,0.58864,1.17102,0.68312,1.01721,0.000977569,0.000977569,0.000977569
24,65.4722,0.90492,0.62676,0.89819,0.85617,0.82433,0.87315,0.58864,1.17102,0.68312,1.01721,0.000965185,0.000965185,0.000965185
25,67.8086,0.92134,0.59304,0.90565,0.88791,0.81988,0.87561,0.59789,1.13222,0.63379,0.99866,0.000952802,0.000952802,0.000952802
26,70.1351,0.86596,0.51468,0.90523,0.88791,0.81988,0.87561,0.59789,1.13222,0.63379,0.99866,0.000940419,0.000940419,0.000940419
27,72.5163,0.84596,0.51641,0.89601,0.91813,0.81685,0.88564,0.59604,1.13255,0.61542,0.97202,0.000928035,0.000928035,0.000928035
28,74.8538,0.80225,0.48178,0.87515,0.9436,0.84931,0.89193,0.61339,1.12674,0.63194,0.96011,0.000915652,0.000915652,0.000915652
29,77.191,0.81328,0.48783,0.9014,0.9436,0.84931,0.89193,0.61339,1.12674,0.63194,0.96011,0.000903269,0.000903269,0.000903269
30,79.6956,0.82997,0.52015,0.90491,0.91968,0.85898,0.88723,0.60222,1.09028,0.64425,0.94318,0.000890886,0.000890886,0.000890886
31,82.0046,0.80176,0.48745,0.87511,0.91968,0.85898,0.88723,0.60222,1.09028,0.64425,0.94318,0.000878502,0.000878502,0.000878502
32,84.3955,0.80826,0.51566,0.88396,0.90858,0.83686,0.87522,0.58321,1.09676,0.80762,0.93953,0.000866119,0.000866119,0.000866119
33,86.8127,0.84498,0.50777,0.89089,0.91065,0.85291,0.87374,0.59423,1.1123,0.95703,0.94638,0.000853736,0.000853736,0.000853736
34,89.1695,0.68355,1.42104,0.77151,0.91065,0.85291,0.87374,0.59423,1.1123,0.95703,0.94638,0.000841353,0.000841353,0.000841353
35,91.599,0.8447,0.49727,0.88125,0.90544,0.84192,0.87378,0.59335,1.11405,0.91653,0.94372,0.000828969,0.000828969,0.000828969
36,93.988,0.79252,0.4809,0.89943,0.93852,0.83984,0.88309,0.5981,1.13578,0.71403,0.9542,0.000816586,0.000816586,0.000816586
37,96.3323,0.70381,0.49816,0.79061,0.93852,0.83984,0.88309,0.5981,1.13578,0.71403,0.9542,0.000804203,0.000804203,0.000804203
38,98.8288,0.78112,0.45985,0.88777,0.90369,0.85454,0.88583,0.59433,1.14731,0.5936,0.95278,0.00079182,0.00079182,0.00079182
39,101.165,0.80929,0.50808,0.89708,0.90369,0.85454,0.88583,0.59433,1.14731,0.5936,0.95278,0.000779437,0.000779437,0.000779437
40,103.573,0.81279,0.49222,0.90498,0.89484,0.84777,0.88746,0.60241,1.1318,0.59093,0.95222,0.000767053,0.000767053,0.000767053
41,105.967,0.7367,0.43717,0.84019,0.93025,0.81376,0.88395,0.60344,1.12137,0.59054,0.94732,0.00075467,0.00075467,0.00075467
42,108.438,0.77858,0.44764,0.88518,0.93025,0.81376,0.88395,0.60344,1.12137,0.59054,0.94732,0.000742287,0.000742287,0.000742287
43,110.863,0.79421,0.47238,0.90087,0.87321,0.86273,0.87854,0.59586,1.11136,0.60803,0.94879,0.000729904,0.000729904,0.000729904
44,113.278,0.81581,0.4696,0.9022,0.87321,0.86273,0.87854,0.59586,1.11136,0.60803,0.94879,0.00071752,0.00071752,0.00071752
