epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82205,0.81311,0.59745,0.72737,0.91964,0.86415,0.91628,0.62959,1.09725,0.67862,0.74049,8.75e-05,8.75e-05,8.75e-05
2,8.90543,0.84904,0.58866,0.68617,0.95749,0.83501,0.89718,0.60083,1.12867,0.70304,0.74831,0.000185645,0.000185645,0.000185645
3,11.3734,0.87364,0.6753,0.74303,0.94829,0.84298,0.89209,0.59801,1.14288,0.69531,0.73996,0.00028181,0.00028181,0.00028181
4,13.8758,0.85231,0.65,0.70956,0.9562,0.80299,0.87542,0.57359,1.19101,0.81974,0.74461,0.000375997,0.000375997,0.000375997
5,16.2173,0.85654,0.6393,0.69757,0.9543,0.82765,0.89135,0.59017,1.21869,0.73514,0.75669,0.000468205,0.000468205,0.000468205
6,18.8154,0.95557,0.70491,0.71452,0.9012,0.82914,0.86731,0.59113,1.16867,0.74887,0.76176,0.000558434,0.000558434,0.000558434
7,21.3571,0.86628,0.62658,0.69722,0.91573,0.83252,0.8812,0.58398,1.20092,0.78001,0.77026,0.000646684,0.000646684,0.000646684
8,23.7852,0.78652,2.47622,0.61249,0.92201,0.81718,0.87828,0.57371,1.21209,0.8071,0.76498,0.000732955,0.000732955,0.000732955
9,26.2124,0.86229,0.63063,0.69771,0.919,0.81718,0.87849,0.57765,1.21824,0.80633,0.76686,0.000817247,0.000817247,0.000817247
10,28.5755,1.08648,0.71333,0.69397,0.919,0.81718,0.87849,0.57765,1.21824,0.80633,0.76686,0.00089956,0.00089956,0.00089956
11,31.0209,0.93799,0.76716,0.74234,0.88843,0.82687,0.87992,0.57039,1.21654,0.86541,0.76149,0.000979894,0.000979894,0.000979894
12,33.3895,0.84771,0.90105,0.63802,0.87452,0.82127,0.87562,0.58469,1.21064,0.82691,0.75898,0.00105825,0.00105825,0.00105825
13,35.9174,0.92826,0.70975,0.71585,0.87452,0.82127,0.87562,0.58469,1.21064,0.82691,0.75898,0.00110158,0.00110158,0.00110158
14,38.2231,0.88934,0.70368,0.71984,0.88176,0.83101,0.879,0.58444,1.20803,0.82227,0.75953,0.00108921,0.00108921,0.00108921
15,40.5592,0.95098,0.7938,0.74919,0.87274,0.83243,0.88156,0.59067,1.20814,0.83351,0.75627,0.00107684,0.00107684,0.00107684
16,42.9821,0.97228,0.74483,0.71909,0.87274,0.83243,0.88156,0.59067,1.20814,0.83351,0.75627,0.00106447,0.00106447,0.00106447
17,45.3238,1.05933,0.76729,0.73585,0.90895,0.82514,0.88626,0.58067,1.20306,0.76652,0.76244,0.0010521,0.0010521,0.0010521
18,47.5994,1.00478,0.72695,0.71305,0.90895,0.82514,0.88626,0.58067,1.20306,0.76652,0.76244,0.00103974,0.00103974,0.00103974
19,49.9423,0.94057,0.6831,0.67947,0.92251,0.81951,0.89128,0.5975,1.16932,0.76533,0.75237,0.00102737,0.00102737,0.00102737
20,52.2867,0.9301,0.68246,0.69187,0.91506,0.81513,0.89069,0.60146,1.17658,0.76113,0.74983,0.001015,0.001015,0.001015
21,54.5811,0.8998,0.66232,0.70325,0.91506,0.81513,0.89069,0.60146,1.17658,0.76113,0.74983,0.00100263,0.00100263,0.00100263
22,56.9451,0.89634,0.65,0.71213,0.89454,0.83016,0.89006,0.60104,1.15654,0.72183,0.73823,0.000990262,0.000990262,0.000990262
23,59.3812,0.87694,0.64057,0.71177,0.91157,0.8022,0.88258,0.59946,1.18713,0.77354,0.7487,0.000977893,0.000977893,0.000977893
24,61.8413,0.97017,0.66927,0.70684,0.91157,0.8022,0.88258,0.59946,1.18713,0.77354,0.7487,0.000965525,0.000965525,0.000965525
25,64.2242,1.03856,0.7033,0.70693,0.90573,0.78227,0.88228,0.59664,1.22441,0.80937,0.76721,0.000953156,0.000953156,0.000953156
26,66.5372,0.914,0.62509,0.6801,0.90573,0.78227,0.88228,0.59664,1.22441,0.80937,0.76721,0.000940788,0.000940788,0.000940788
27,68.9398,0.90017,0.63777,0.70837,0.93572,0.77491,0.88032,0.58853,1.17347,0.78004,0.76016,0.000928419,0.000928419,0.000928419
28,71.3193,0.85816,0.59597,0.68401,0.88907,0.8293,0.88353,0.5896,1.13719,0.7483,0.74653,0.00091605,0.00091605,0.00091605
29,73.7223,0.83217,0.57823,0.69492,0.88907,0.8293,0.88353,0.5896,1.13719,0.7483,0.74653,0.000903682,0.000903682,0.000903682
30,76.1318,0.9106,0.63577,0.67903,0.90587,0.83497,0.88757,0.59484,1.11649,0.7348,0.73774,0.000891313,0.000891313,0.000891313
31,78.469,0.83339,0.59713,0.69069,0.90587,0.83497,0.88757,0.59484,1.11649,0.7348,0.73774,0.000878945,0.000878945,0.000878945
32,80.8272,0.89854,0.63065,0.69062,0.9199,0.83617,0.89909,0.60866,1.14865,0.71955,0.74466,0.000866576,0.000866576,0.000866576
33,83.2314,0.82254,0.56876,0.68505,0.87734,0.83647,0.89282,0.60127,1.1662,0.73967,0.75573,0.000854208,0.000854208,0.000854208
34,85.5771,0.71609,1.00808,0.60188,0.87734,0.83647,0.89282,0.60127,1.1662,0.73967,0.75573,0.000841839,0.000841839,0.000841839
35,87.9528,0.81478,0.61048,0.69085,0.86514,0.83159,0.89078,0.60651,1.16435,0.73148,0.75494,0.000829471,0.000829471,0.000829471
36,90.4478,0.86382,0.61474,0.69044,0.93628,0.80491,0.88794,0.6026,1.17352,0.75158,0.76098,0.000817102,0.000817102,0.000817102
37,92.8818,0.75095,1.50775,0.59495,0.93628,0.80491,0.88794,0.6026,1.17352,0.75158,0.76098,0.000804734,0.000804734,0.000804734
38,95.3122,0.81399,0.57595,0.66765,0.93107,0.80332,0.88791,0.59957,1.17201,0.73916,0.76025,0.000792366,0.000792366,0.000792366
39,97.6769,0.82186,0.60712,0.70117,0.93107,0.80332,0.88791,0.59957,1.17201,0.73916,0.76025,0.000779997,0.000779997,0.000779997
40,100.001,0.82417,0.61471,0.69487,0.94473,0.81608,0.88773,0.59603,1.17324,0.72553,0.76098,0.000767628,0.000767628,0.000767628
41,102.331,0.78712,0.55437,0.67366,0.90115,0.85305,0.88612,0.59459,1.15606,0.74327,0.76029,0.00075526,0.00075526,0.00075526
42,104.653,0.79801,0.601,0.68647,0.90115,0.85305,0.88612,0.59459,1.15606,0.74327,0.76029,0.000742892,0.000742892,0.000742892
43,107.089,0.80178,0.56984,0.71002,0.89932,0.85292,0.88059,0.5848,1.17216,0.76597,0.76324,0.000730523,0.000730523,0.000730523
44,109.454,0.8237,0.58327,0.69147,0.89932,0.85292,0.88059,0.5848,1.17216,0.76597,0.76324,0.000718154,0.000718154,0.000718154
45,111.775,0.82769,0.61064,0.68699,0.93845,0.79005,0.86701,0.59062,1.19682,0.74872,0.77275,0.000705786,0.000705786,0.000705786
46,114.075,0.87141,0.61583,0.68837,0.91717,0.81095,0.87853,0.58773,1.19978,0.75523,0.78487,0.000693418,0.000693418,0.000693418
47,116.439,0.86858,0.58325,0.66161,0.91717,0.81095,0.87853,0.58773,1.19978,0.75523,0.78487,0.000681049,0.000681049,0.000681049
48,118.841,0.78886,0.57258,0.68244,0.88458,0.84429,0.87315,0.59551,1.17873,0.75947,0.77767,0.000668681,0.000668681,0.000668681
49,121.257,0.82461,0.57537,0.67624,0.86948,0.83986,0.87919,0.60184,1.1737,0.74172,0.76736,0.000656312,0.000656312,0.000656312
50,123.682,0.78986,0.55449,0.67291,0.86948,0.83986,0.87919,0.60184,1.1737,0.74172,0.76736,0.000643944,0.000643944,0.000643944
51,126.015,0.90144,0.62556,0.7097,0.87359,0.83784,0.88306,0.5937,1.17376,0.71821,0.76543,0.000631575,0.000631575,0.000631575
