epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84524,0.80673,0.48832,1.03755,0.93078,0.85974,0.9041,0.62255,1.12411,0.56435,1.09225,8.75e-05,8.75e-05,8.75e-05
2,9.87107,0.76826,0.44695,1.00089,0.902,0.85697,0.89093,0.59178,1.19664,0.56361,1.11498,0.000185643,0.000185643,0.000185643
3,12.3741,0.81479,0.50729,1.03674,0.90017,0.84762,0.88552,0.59339,1.15614,0.58624,1.11171,0.000281804,0.000281804,0.000281804
4,14.7814,0.80822,0.47711,1.01469,0.96,0.81811,0.88846,0.59683,1.17262,0.59032,1.11109,0.000375984,0.000375984,0.000375984
5,17.2473,0.86423,0.50833,1.04391,0.93342,0.80743,0.8999,0.59047,1.18819,0.5962,1.1041,0.000468182,0.000468182,0.000468182
6,19.6162,0.88332,0.51475,1.01843,0.91719,0.84009,0.88833,0.58742,1.18216,0.62723,1.09203,0.000558399,0.000558399,0.000558399
7,21.9663,0.90332,0.50274,1.04682,0.89009,0.82108,0.87992,0.58174,1.19782,0.62348,1.09513,0.000646635,0.000646635,0.000646635
8,24.2978,0.79887,0.73736,0.915,0.94548,0.78634,0.88917,0.56994,1.1813,0.62946,1.07685,0.00073289,0.00073289,0.00073289
9,26.7014,0.87151,0.52539,1.05518,0.95078,0.7856,0.89152,0.57294,1.17758,0.6156,1.07467,0.000817163,0.000817163,0.000817163
10,29.0381,0.81256,0.74344,0.90298,0.95078,0.7856,0.89152,0.57294,1.17758,0.6156,1.07467,0.000899455,0.000899455,0.000899455
11,31.4063,0.95194,0.53468,1.03903,0.93631,0.79232,0.89297,0.57921,1.18427,0.61199,1.07962,0.000979766,0.000979766,0.000979766
12,33.7846,0.78533,1.29031,0.89656,0.91291,0.8035,0.89027,0.57895,1.23827,0.65405,1.10169,0.0010581,0.0010581,0.0010581
13,36.1069,0.91284,0.53384,1.04678,0.91291,0.8035,0.89027,0.57895,1.23827,0.65405,1.10169,0.0011014,0.0011014,0.0011014
14,38.5129,0.98673,0.69617,1.05717,0.87107,0.8396,0.88154,0.574,1.27973,0.7172,1.11998,0.00108902,0.00108902,0.00108902
15,40.97,1.0278,0.73215,1.08968,0.91344,0.80204,0.87243,0.58883,1.19506,0.67059,1.08829,0.00107663,0.00107663,0.00107663
16,43.3177,0.96067,0.58944,1.02069,0.91344,0.80204,0.87243,0.58883,1.19506,0.67059,1.08829,0.00106425,0.00106425,0.00106425
17,45.8939,0.99448,0.59756,1.07165,0.9267,0.78238,0.86215,0.58189,1.21189,0.71933,1.11602,0.00105187,0.00105187,0.00105187
18,48.2574,0.86571,0.54941,1.03182,0.9267,0.78238,0.86215,0.58189,1.21189,0.71933,1.11602,0.00103948,0.00103948,0.00103948
19,50.7574,0.92823,0.55609,1.03861,0.90708,0.79817,0.86396,0.57296,1.19162,0.68247,1.10632,0.0010271,0.0010271,0.0010271
20,53.0994,0.93121,0.58778,1.04988,0.85675,0.81318,0.87125,0.5934,1.16324,0.70406,1.09597,0.00101472,0.00101472,0.00101472
21,55.3917,0.85803,0.54651,1.04687,0.85675,0.81318,0.87125,0.5934,1.16324,0.70406,1.09597,0.00100234,0.00100234,0.00100234
